flow,lighthouse
0.894,0.888691782951355
0.894,0.8889061212539673
0.894,0.8894701600074768
0.894,0.8897247910499573
0.893,0.8903813362121582
0.893,0.8914368748664856
0.893,0.8921059966087341
0.893,0.892535388469696
0.893,0.8932463526725769
0.9,0.895661473274231
0.9,0.8963541984558105
0.9,0.8969526290893555
0.9,0.8976941108703613
0.897,0.898199737071991
0.897,0.8989006280899048
0.897,0.8995347619056702
0.897,0.9001760482788086
0.9,0.9007222652435303
0.9,0.9014924168586731
0.9,0.8918558359146118
0.9,0.8915071487426758
0.898,0.8920736908912659
0.898,0.89122474193573
0.898,0.8912733793258667
0.898,0.8913457989692688
0.898,0.8917344808578491
0.898,0.8927605748176575
0.898,0.8928561210632324
0.898,0.8929761648178101
0.898,0.8931477069854736
0.899,0.8942217826843262
0.899,0.8944180607795715
0.899,0.894622266292572
0.899,0.8948307633399963
0.905,0.8974626064300537
0.905,0.8967917561531067
0.905,0.8941397666931152
0.905,0.8946165442466736
0.904,0.8961841464042664
0.904,0.8964183926582336
0.904,0.8952729105949402
0.904,0.8954682350158691
0.908,0.897406280040741
0.908,0.8973867893218994
0.908,0.8968707323074341
0.908,0.8971532583236694
0.908,0.8973722457885742
0.907,0.8989338874816895
0.907,0.8993113040924072
0.907,0.8996956944465637
0.907,0.9000951051712036
0.907,0.9019517302513123
0.907,0.9024554491043091
0.907,0.9029625058174133
0.907,0.9016512036323547
0.91,0.903361976146698
0.91,0.9027507305145264
0.91,0.9031085968017578
0.91,0.9033607840538025
0.914,0.905363917350769
0.914,0.9058051705360413
0.914,0.9062421321868896
0.914,0.9065257906913757
0.914,0.9082030653953552
0.914,0.9086493849754333
0.914,0.9074746966362
0.914,0.9074591994285583
0.914,0.9079171419143677
0.916,0.909477174282074
0.916,0.9099090695381165
0.916,0.9090688228607178
0.916,0.9094051718711853
0.914,0.910470187664032
0.914,0.9108118414878845
0.914,0.9111309051513672
0.914,0.9115807414054871
0.919,0.9123356938362122
0.919,0.912540078163147
0.919,0.9128214716911316
0.919,0.9131025671958923
0.919,0.9144771099090576
0.919,0.9148217439651489
0.919,0.9151570796966553
0.919,0.9155482053756714
0.924,0.914372444152832
0.924,0.9160558581352234
0.924,0.9163298606872559
0.924,0.916370153427124
0.924,0.9158803820610046
0.926,0.9176206588745117
0.926,0.9174612760543823
0.926,0.9173047542572021
0.926,0.9169338345527649
0.925,0.9183157086372375
0.925,0.9185233116149902
0.925,0.9187215566635132
0.925,0.9186471700668335
0.929,0.920513927936554
0.929,0.9206020832061768
0.929,0.9208256006240845
0.929,0.9210480451583862
0.925,0.9220821261405945
